Protein,phi_calib
YCR060W,4.37679E-05
YCR068W,5.18015E-05
YCR071C,1.40433E-05
YCR072C,4.00238E-05
YCR073W-A,0.000413666
YCR075W-A,3.42297E-05
YCR076C,8.91127E-06
YCR077C,0.000220952
YCR083W,0.00080909
YCR084C,0.000362237
YCR086W,4.57865E-05
YCR087C-A,6.93479E-05
YCR088W,0.001073364
YCR090C,5.99974E-05
YCR093W,0.000262091
YCR098C,0
YDL002C,0
YDL004W,0.001908311
YDL006W,3.82684E-05
YDL007W,0.000445693
YDL012C,2.59135E-06
YDL014W,0.000195103
YDL015C,9.28068E-05
YDL019C,0.000199437
YDL022W,0.001229704
YDL029W,0.000759898
YDL031W,0.000177679
YDL040C,0.000572013
YDL043C,0
YDL047W,9.66712E-05
YDL051W,0.0003643
YDL052C,4.92002E-05
YDL053C,8.04027E-05
YDL055C,0.003702184
YDL058W,8.31793E-05
YDL060W,9.00879E-05
YDL061C,0.000258942
YDL063C,0
YDL064W,7.71566E-05
YDL065C,0.00017482
YDL066W,0.001310131
YDL072C,0.000279892
YDL074C,0
YDL075W,0.00058904
YDL077C,5.17226E-05
YDL078C,0.001177655
YDL081C,0.000389542
YDL082W,0.000205401
YDL084W,0.001027268
YDL085C-A,2.60526E-05
YDL086W,0.000321195
YDL092W,8.53572E-05
YDL095W,0.000241007
YDL097C,0.000548389
YDL098C,3.04375E-05
YDL099W,9.33901E-05
YDL100C,0.000275404
YDL103C,0.000437743
YDL110C,5.59027E-05
YDL111C,4.69774E-05
YDL112W,6.13011E-05
YDL113C,4.48903E-05
YDL116W,0
YDL120W,9.35321E-05
YDL121C,6.88366E-05
YDL122W,0.00027138
YDL124W,0.001318174
YDL125C,0.000831412
YDL126C,0.002832835
YDL128W,1.34154E-05
YDL130W,0.000263986
YDL130W-A,0.001091117
YDL131W,0.000734008
YDL132W,0.000184656
YDL134C,0.000124217
YDL135C,0.00037097
YDL137W,0.000327484
YDL140C,0.000562727
YDL143W,0.000302985
YDL144C,0.000171981
YDL145C,0.000608475
YDL147W,0.000268238
YDL150W,4.46827E-05
YDL153C,0.000102752
YDL157C,0
YDL160C,0.000491877
YDL161W,0.000119489
YDL164C,0.000163151
YDL165W,0.000132242
YDL166C,9.09162E-05
YDL167C,0
YDL168W,0.000392108
YDL171C,0.000476334
YDL173W,0.000137245
YDL174C,0.000387744
YDL178W,0.000395537
YDL181W,0.001775834
YDL182W,0.00015291
YDL185W,0.002530029
YDL189W,2.63968E-05
YDL190C,0.001120381
YDL192W,0.000146639
YDL195W,0.000691512
YDL198C,0.000136648
YDL199C,0.000236932
YDL201W,9.87297E-05
YDL202W,0
YDL203C,0
YDL204W,0.000108846
YDL205C,0.000112892
YDL208W,0.000130633
YDL211C,7.67274E-06
YDL212W,2.59857E-05
YDL213C,0.000184399
YDL215C,0.00115111
YDL217C,4.16906E-05
YDL219W,5.6685E-05
YDL223C,0.000333767
YDL224C,2.04358E-05
YDL225W,0.000200853
YDL226C,0.000192605
YDL229W,0.003906709
YDL235C,0.000161376
YDL236W,9.74055E-05
YDL237W,7.55721E-05
YDR001C,0.000753579
YDR002W,0.000149933
YDR005C,3.1242E-05
YDR007W,1.0249E-05
YDR011W,0.000178467
YDR012W,0
YDR016C,5.11833E-05
YDR017C,0.000183901
YDR019C,0.000245213
YDR023W,0.001253891
YDR028C,0.000418159
YDR031W,0.000117446
YDR032C,0.001346755
YDR033W,0.000362502
YDR035W,0.000620757
YDR036C,0.000570305
YDR037W,0.000717993
YDR041W,1.62085E-05
YDR044W,0.000107712
YDR050C,0.003986059
YDR051C,9.90054E-05
YDR054C,6.10399E-05
YDR055W,0.00065154
YDR060W,0.000115216
YDR062W,0.000112277
YDR063W,0.000275389
YDR064W,0.001868148
YDR068W,5.27258E-05
YDR070C,0.00028114
YDR071C,0.001165891
YDR074W,0.000542777
YDR076W,0
YDR083W,7.03979E-05
YDR084C,7.94374E-05
YDR086C,0.0008269
YDR087C,3.9121E-06
YDR091C,0.000259323
YDR092W,6.83809E-05
YDR098C,0.000270497
YDR099W,0.000330831
YDR101C,0.000489285
YDR116C,9.64757E-05
YDR117C,7.09706E-05
YDR119W,1.24357E-05
YDR120C,0.000135533
YDR121W,0.000219283
YDR127W,0.001043571
YDR129C,0.000880115
YDR135C,0.000180258
YDR138W,0
YDR141C,7.56716E-05
YDR143C,2.25521E-05
YDR145W,0.000189298
YDR148C,0.003062477
YDR150W,0.000314666
YDR152W,0.000101525
YDR153C,6.66036E-05
YDR155C,0.002823909
YDR156W,1.82798E-05
YDR158W,0.001039544
YDR165W,6.48123E-05
YDR167W,3.36769E-05
YDR168W,0.000510649
YDR169C,0.000108349
YDR170C,0.000250935
YDR172W,0.000367521
YDR174W,0.000397265
YDR175C,0.000191979
YDR176W,3.68029E-05
YDR177W,0.000167929
YDR178W,0.001434432
YDR182W,9.76011E-05
YDR183W,4.61814E-05
YDR188W,0.000267143
YDR189W,8.91904E-05
YDR190C,0.000491534
YDR194C,0.000104636
YDR201W,0.000153445
YDR211W,0.000209865
YDR212W,0.000393042
YDR214W,0.000224098
YDR221W,0.000151248
YDR224C,1.85806E-06
YDR226W,0.001781945
YDR227W,9.32869E-05
YDR231C,7.19776E-05
YDR232W,0.000225265
YDR233C,0.002309145
YDR234W,0.000200043
YDR235W,0
YDR236C,4.8506E-05
YDR238C,0.00058269
YDR239C,6.82619E-05
YDR243C,1.11741E-05
YDR246W,0
YDR248C,8.22781E-05
YDR257C,2.5024E-05
YDR258C,0.001061065
YDR262W,4.2902E-05
YDR264C,0.000104598
YDR266C,2.45574E-05
YDR267C,0
YDR268W,2.90008E-05
YDR272W,8.93671E-05
YDR280W,7.537E-05
YDR287W,8.36126E-05
YDR289C,6.78267E-05
YDR292C,0.000123985
YDR293C,0.000165019
YDR294C,0.000144302
YDR296W,0.000135896
YDR298C,0.000759497
YDR299W,8.90454E-05
YDR300C,0.000107951
YDR303C,0
YDR304C,0.000279671
YDR312W,0
YDR320C,0.00015491
YDR321W,0.000101734
YDR322C-A,0.000462118
YDR322W,0.000174677
YDR324C,8.9459E-05
YDR328C,0.000316401
YDR330W,6.52247E-05
YDR333C,0
YDR337W,0.000111342
YDR341C,0.001360308
YDR346C,0.000318579
YDR347W,0.000146338
YDR348C,3.41185E-05
YDR353W,0.000317268
YDR354W,8.70877E-05
YDR356W,5.41793E-05
YDR358W,0.000150962
YDR361C,6.19489E-05
YDR363W-A,0.000148263
YDR365C,2.19233E-05
YDR367W,4.37209E-06
YDR368W,0.000804182
YDR376W,2.76127E-05
YDR377W,0.001227368
YDR378C,0.00025046
YDR380W,0.000803872
YDR381C-A,5.46201E-06
YDR381W,0.000676547
YDR382W,0.000237926
YDR384C,0.000641137
YDR388W,0.000269822
YDR389W,0
YDR390C,9.23371E-05
YDR394W,0.000234727
YDR395W,9.68934E-05
YDR397C,8.4058E-05
YDR398W,7.78352E-05
YDR399W,0.000101785
YDR404C,9.67128E-05
YDR405W,0.000117269
YDR408C,7.49302E-05
YDR411C,5.04097E-05
YDR416W,0
YDR422C,1.10872E-05
YDR425W,2.73922E-05
YDR427W,0.000343251
YDR428C,6.91079E-05
YDR429C,0.000433353
YDR430C,0.000309989
YDR432W,0.00064229
YDR434W,0
YDR441C,6.21191E-05
YDR449C,1.97907E-05
YDR452W,0.000201037
YDR453C,0.000192542
YDR454C,0.001043767
YDR457W,0.000149095
YDR461C-A,6.54284E-05
YDR462W,7.76952E-05
YDR469W,0.000100345
YDR470C,6.17296E-05
YDR472W,5.52084E-05
YDR477W,0.000363068
YDR481C,0.000197434
YDR483W,0.000201002
YDR486C,3.03969E-05
YDR487C,0.000415645
YDR496C,0.000135119
YDR500C,0.000265159
YDR502C,0.000694786
YDR508C,6.13443E-05
YDR510W,0.000461281
YDR513W,0.001233142
YDR515W,0.000110747
YDR516C,0.000353954
YDR517W,8.01761E-05
YDR518W,0.000273252
YDR519W,0.000350693
YDR524C,5.782E-05
YDR525W-A,6.56771E-05
YDR529C,0.001089047
YDR531W,0.000198734
YDR533C,0.000625522
YEL002C,0.000426142
YEL007W,0.000155804
YEL012W,0
YEL013W,0.000202577
YEL015W,0.000105511
YEL018W,9.73678E-06
YEL020W-A,0.000266119
YEL021W,0
YEL024W,0.000941805
YEL026W,0.000166626
YEL030W,0.000125561
YEL031W,0.000367404
YEL032W,4.18202E-05
YEL034W,0.000366365
YEL037C,0.000262615
YEL038W,0.000130426
YEL040W,4.29926E-05
YEL042W,0.000116775
YEL044W,9.48999E-05
YEL046C,0.000115471
YEL047C,0.00108492
YEL050C,4.6643E-06
YEL051W,0.00034349
YEL052W,0.000114086
YEL055C,5.18638E-05
YEL056W,5.50964E-05
YEL058W,0.000348702
YEL060C,0.000871274
YEL066W,0.000533171
YEL071W,9.07432E-05
YER001W,0
YER002W,4.23377E-05
YER003C,0.001085445
YER004W,0.000243175
YER006W,0.000199622
YER007C-A,0.000206405
YER009W,0.000465408
YER010C,0.000161442
YER012W,0.000253628
YER014W,0.000467155
YER019C-A,2.94204E-05
YER019W,0
YER021W,0.000419365
YER023W,0.000431121
YER025W,0.000715787
YER029C,7.12613E-05
YER030W,6.25406E-05
YER031C,4.10711E-05
YER034W,1.46506E-05
YER036C,0.000514689
YER042W,0.00050467
YER043C,0.002397491
YER044C,0.00014217
YER048C,0.000388886
YER048W-A,0.000216672
YER049W,0.00020444
YER052C,0.000305379
YER055C,0.000112725
YER056C,0
YER057C,0.000290342
YER061C,6.38794E-05
YER062C,0.000107291
YER063W,0.000435249
YER067W,5.19808E-05
YER068W,7.3677E-05
YER069W,0.000314695
YER070W,0.000164697
YER072W,0.000199903
YER073W,0.000398421
YER074W-A,8.75642E-06
YER078C,0
YER079W,9.39493E-05
YER080W,0.000652207
YER081W,0.000102429
YER082C,8.80039E-05
YER083C,7.98504E-05
YER086W,0.000569803
YER088C,3.31896E-05
YER089C,0.000216627
YER090W,0.000776596
YER091C,0.001302899
YER092W,4.26908E-05
YER094C,0.00028211
YER099C,0.000231076
YER100W,0
YER101C,1.9103E-05
YER103W,0.000264257
YER105C,1.03963E-05
YER110C,0.000939903
YER112W,0.000189485
YER114C,0
YER120W,9.51948E-05
YER122C,0.000249462
YER123W,2.16461E-05
YER125W,0.002648738
YER131W,1.54632E-05
YER133W,0.000167168
YER134C,0.000116228
YER136W,0.000822297
YER139C,7.27776E-05
YER143W,9.4143E-05
YER145C,0
YER146W,0.000214936
YER148W,6.31314E-05
YER151C,0.000213671
YER152C,0.000181453
YER155C,0.00016076
YER156C,0.000274452
YER159C,3.49183E-05
YER161C,1.09283E-05
YER163C,0.000106633
YER164W,5.04316E-05
YER165W,0.001380739
YER166W,0
YER168C,0.000639543
YER174C,0.000116968
YER175C,9.53328E-05
YER176W,0.000133639
YER177W,0.000713246
YER178W,0.001114093
YER182W,5.23474E-05
YFL001W,3.45271E-05
YFL002C,0
YFL004W,0.000201664
YFL005W,0.000309002
YFL007W,5.50914E-05
YFL008W,0.000147699
YFL010C,0.000176041
YFL014W,0.002232395
YFL016C,0.000191002
YFL017C,0.000227733
YFL017W-A,1.23535E-05
YFL018C,0.00108161
YFL022C,0.000662568
YFL023W,6.16984E-05
YFL028C,0.000111485
YFL034C-A,2.92501E-05
YFL037W,0.001858824
YFL038C,0.000499905
YFL039C,0.007143064
YFL041W,0.000197109
YFL044C,2.76132E-05
YFL045C,0.001162814
YFL047W,0
YFL048C,0.000152933
YFR001W,8.21176E-05
YFR002W,9.85187E-05
YFR003C,0.00013761
YFR004W,0.000558833
YFR006W,0.000282883
YFR009W,0.000253658
YFR010W,0.000226378
YFR011C,0.000175919
YFR013W,2.40087E-05
YFR014C,0.000131266
YFR016C,9.62355E-05
YFR024C-A,0.000283987
YFR025C,0
YFR028C,5.93275E-05
YFR030W,9.29603E-05
YFR033C,0.000378832
YFR034C,3.12571E-06
YFR037C,0.00024284
YFR040W,6.27666E-05
YFR041C,0
YFR044C,0.002698906
YFR047C,0.000393803
YFR049W,4.29709E-06
YFR050C,0.000202396
YFR051C,0.00034399
YFR052W,0.000163117
YFR053C,0.003963873
YGL001C,0.000130758
YGL005C,0
YGL008C,0.000717225
YGL009C,0.000517135
YGL011C,0.000307927
YGL014W,0.00010176
YGL016W,0
YGL018C,0
