ORF,Xi
YPL049C,6.0532E-05
YPL050C,0.0001012
YPL051W,2.24994E-05
YPL052W,3.36079E-05
YPL053C,0.000102801
YPL054W,0.000148553
YPL055C,6.42976E-05
YPL056C,6.58979E-07
YPL057C,0.000190539
YPL058C,2.73006E-06
YPL059W,0.000143563
YPL060C-A,3.7656E-07
YPL060W,2.21229E-05
YPL061W,0.001116311
YPL062W,9.41399E-08
YPL063W,0.000162956
YPL064C,2.8901E-05
YPL065W,4.48106E-05
YPL066W,2.89951E-05
YPL067C,6.83456E-05
YPL068C,8.94329E-06
YPL069C,1.67569E-05
YPL070W,6.89104E-05
YPL071C,1.79807E-05
YPL072W,1.48741E-05
YPL074W,5.19652E-05
YPL075W,2.84303E-05
YPL076W,1.27089E-05
YPL077C,1.64745E-05
YPL078C,0.000489339
YPL079W,0.000244575
YPL080C,0
YPL081W,0.000277901
YPL082C,6.41093E-05
YPL083C,2.6265E-05
YPL084W,0.000147988
YPL085W,0.000330902
YPL086C,8.05838E-05
YPL087W,8.99978E-05
YPL088W,4.24571E-05
YPL089C,6.94753E-05
YPL090C,0.000133396
YPL091W,0.000246364
YPL092W,0.000216145
YPL093W,0.000151
YPL094C,0.00014394
YPL095C,1.64745E-05
YPL096W,6.3262E-05
YPL096C-A,1.08261E-05
YPL097W,3.96329E-05
YPL098C,0.00017783
YPL099C,5.49777E-05
YPL100W,8.87739E-05
YPL101W,6.71218E-05
YPL103C,1.82631E-05
YPL104W,3.60556E-05
YPL105C,0.000189692
YPL106C,0.000782585
YPL107W,4.81055E-05
YPL108W,2.04284E-05
YPL109C,4.87645E-05
YPL110C,0.000156743
YPL111W,0.000925019
YPL112C,4.69758E-05
YPL113C,0.000107414
YPL115C,5.25301E-05
YPL116W,7.51237E-05
YPL117C,0.000201648
YPL118W,0.000136032
YPL119C,0.000166628
YPL119C-A,0
YPL120W,4.92352E-05
YPL121C,2.8242E-07
YPL122C,3.04072E-05
YPL123C,0.000152036
YPL124W,2.06166E-05
YPL125W,0.000138197
YPL126W,9.32927E-05
YPL127C,0.000345305
YPL128C,6.25089E-05
YPL129W,0.000115792
YPL130W,2.8242E-07
YPL131W,0.001492494
YPL132W,2.40998E-05
YPL133C,5.9873E-05
YPL134C,0.000141586
YPL135W,0.000892635
YPL137C,4.53754E-05
YPL138C,5.72371E-05
YPL139C,8.02072E-05
YPL140C,3.86915E-05
YPL141C,6.58979E-05
YPL143W,0.000472582
YPL144W,1.8828E-05
YPL145C,0.000181784
YPL146C,5.84609E-05
YPL147W,0.000260956
YPL148C,1.91104E-05
YPL149W,2.40057E-05
YPL150W,5.34715E-05
YPL151C,1.92045E-05
YPL152W,7.70064E-05
YPL152W-A,6.58979E-07
YPL153C,2.7583E-05
YPL154C,0.002424197
YPL155C,3.28548E-05
YPL156C,0.000108261
YPL157W,2.26877E-05
YPL158C,5.63898E-05
YPL159C,0.0001012
YPL160W,0.000357167
YPL161C,4.89528E-05
YPL162C,3.08779E-05
YPL163C,0.000176795
YPL164C,2.92775E-05
YPL165C,0
YPL166W,4.00095E-05
YPL167C,2.16522E-05
YPL168W,2.55119E-05
YPL169C,8.75501E-05
YPL170W,0.000124359
YPL171C,1.51565E-05
YPL172C,2.48529E-05
YPL173W,9.14099E-05
YPL174C,1.82631E-05
YPL175W,1.14851E-05
YPL176C,7.72889E-05
YPL177C,0.000227254
YPL178W,8.8115E-05
YPL179W,0.000109202
YPL180W,8.19017E-05
YPL181W,0.000162109
YPL183C,6.44858E-05
YPL183W-A,7.49354E-05
YPL184C,4.99883E-05
YPL186C,0.000228478
YPL187W,5.64839E-07
YPL188W,0.000109955
YPL189W,6.58979E-07
YPL189C-A,5.03649E-05
YPL190C,0.000316404
YPL191C,2.54178E-05
YPL192C,4.707E-07
YPL193W,6.8628E-05
YPL194W,1.77924E-05
YPL195W,0.000104589
YPL196W,8.18076E-05
YPL198W,8.73618E-05
YPL199C,5.53543E-05
YPL200W,1.74159E-05
YPL201C,0.000175665
YPL202C,3.68087E-05
YPL203W,0.000144316
YPL204W,0.000141116
YPL206C,0.000185361
YPL207W,7.93599E-05
YPL208W,2.3535E-05
YPL209C,2.24994E-05
YPL210C,0.000185267
YPL211W,7.55002E-05
YPL212C,6.94753E-05
YPL213W,3.91622E-05
YPL214C,5.02707E-05
YPL215W,0.000101295
YPL216W,2.24053E-05
YPL217C,0.000109391
YPL218W,0.000389174
YPL219W,7.06991E-05
YPL220W,8.19959E-05
YPL221W,0.000126712
YPL222W,0.00010732
YPL223C,0.00352168
YPL224C,5.15887E-05
YPL225W,0.000307743
YPL226W,0.000255966
YPL227C,2.39115E-05
YPL228W,0.000147047
YPL229W,6.31679E-05
YPL230W,0.000186868
YPL231W,0.001778868
YPL232W,0.000126242
YPL233W,3.14427E-05
YPL234C,0.000243069
YPL235W,0.000165027
YPL236C,4.47165E-05
YPL237W,0.000199859
YPL239W,9.39516E-05
YPL240C,0.000572653
YPL241C,7.53119E-06
YPL242C,9.65876E-05
YPL243W,0.000188562
YPL244C,1.44975E-05
YPL245W,9.88469E-06
YPL246C,9.20688E-05
YPL247C,8.53849E-05
YPL248C,2.47588E-05
YPL249C,0.000130007
YPL249C-A,0.000527372
YPL250C,9.1504E-05
YPL252C,4.22688E-05
YPL253C,2.83361E-05
YPL254W,4.58461E-05
YPL255W,1.12026E-05
YPL256C,3.6997E-05
YPL257W,3.62439E-05
YPL257W-A,0
YPL257W-B,0
YPL258C,1.97694E-06
YPL259C,7.16405E-05
YPL260W,0.000416381
YPL261C,1.31796E-06
YPL262W,0.000552036
YPL263C,3.03131E-05
YPL264C,1.11085E-05
YPL265W,0.000583667
YPL266W,5.03649E-05
YPL267W,3.72794E-05
YPL268W,2.68299E-05
YPL269W,1.13909E-05
YPL270W,8.63263E-05
YPL271W,0.000503366
YPL272C,0.00030539
YPL273W,4.04802E-05
YPL274W,4.77289E-05
YPL275W,1.8828E-07
YPL276W,8.19017E-06
YPL277C,3.85974E-06
YPL278C,0
YPL279C,4.707E-07
YPL280W,0
YPL281C,9.41399E-08
YPL282C,9.41399E-08
YPL283C,0
YOR396W,0
YOR394C-A,9.41399E-08
YOR394W,0
YOR393W,0
YOR391C,2.91834E-06
YOR390W,7.53119E-07
YOR389W,4.98942E-06
YOR388C,6.21323E-06
YOR387C,9.41399E-08
YOR386W,4.5093E-05
YOR385W,3.42669E-05
YOR384W,5.64839E-07
YOR383C,4.76348E-05
YOR382W,4.19864E-05
YOR381W-A,0
YOR381W,8.47259E-07
YOR380W,1.0073E-05
YOR378W,2.8242E-06
YOR377W,1.12968E-06
YOR376W-A,0
YOR376W,0
YOR375C,0.000689763
YOR374W,0.014739769
YOR373W,4.74465E-05
YOR372C,0.00010619
YOR371C,6.03437E-05
YOR370C,0.000112591
YOR369C,0.00107922
YOR368W,2.8242E-05
YOR367W,3.95388E-05
YOR365C,4.707E-06
YOR363C,4.78231E-05
YOR362C,0.00023921
YOR361C,0.000373547
YOR360C,2.74889E-05
YOR359W,3.502E-05
YOR358W,2.38174E-05
YOR357C,6.56155E-05
YOR356W,0.000209367
YOR355W,0.000141586
YOR354C,8.44435E-05
YOR353C,6.58038E-05
YOR352W,6.731E-05
YOR351C,4.707E-07
YOR350C,4.42458E-05
YOR349W,3.95388E-06
YOR348C,0.00061624
YOR347C,0.000109579
YOR346W,1.85456E-05
YOR344C,0.000159285
YOR343W-A,0
YOR343W-B,0
YOR343C,3.7656E-07
YOR342C,2.48529E-05
YOR341W,0.000213321
YOR340C,7.91717E-05
YOR339C,1.50624E-06
YOR338W,2.40998E-05
YOR337W,1.76983E-05
YOR336W,7.43705E-05
YOR335C,0.000404802
YOR334W,1.22382E-05
YOR332W,0.00075359
YOR330C,4.94235E-05
YOR329C,0.000123512
YOR328W,6.15675E-05
YOR327C,0.000182631
YOR326W,0.000178772
YOR324C,8.02072E-05
YOR323C,0.000281761
YOR322C,9.31985E-05
YOR321W,5.20594E-05
YOR320C,6.90987E-05
YOR319W,2.24053E-05
YOR317W,0.000828149
YOR316C-A,9.41399E-08
YOR316C,7.72889E-05
YOR315W,1.24265E-05
YOR314W,4.707E-07
YOR313C,7.53119E-07
YOR312C,0.000421276
YOR311C,3.41728E-05
YOR310C,0.000237986
YOR308C,5.08356E-05
YOR307C,3.45493E-05
YOR306C,0.000112403
YOR305W,2.06166E-05
YOR304C-A,1.61921E-05
YOR304W,0.000101577
YOR303W,0.000154484
YOR302W,8.76443E-05
YOR301W,2.74889E-05
YOR299W,2.43822E-05
YOR298C-A,0.000655308
YOR298W,1.22382E-06
YOR297C,3.43611E-05
YOR296W,2.87127E-05
YOR295W,1.751E-05
YOR294W,0.000144975
YOR293C-A,0
YOR293W,0.000383244
YOR292C,1.50624E-05
YOR291W,4.97059E-05
YOR290C,0.000235256
