ORF,Xi
YPL045W,1.98198E-05
YPL046C,9.78118E-06
YPL047W,9.20203E-06
YPL048W,0.000637385
YPL049C,8.91246E-05
YPL050C,6.40281E-05
YPL051W,1.46074E-05
YPL052W,9.07333E-06
YPL053C,6.96909E-05
YPL054W,1.09395E-06
YPL055C,3.47489E-05
YPL056C,7.07849E-07
YPL057C,2.12355E-05
YPL058C,1.8211E-05
YPL059W,7.27797E-05
YPL060C-A,5.79149E-07
YPL060W,4.95494E-06
YPL061W,0.002718074
YPL062W,6.43499E-08
YPL063W,0.000130115
YPL064C,1.57657E-05
YPL065W,1.52509E-05
YPL066W,9.78118E-06
YPL067C,1.8018E-05
YPL068C,1.16473E-05
YPL069C,1.26769E-05
YPL070W,1.60875E-05
YPL071C,5.92019E-06
YPL072W,3.66794E-06
YPL074W,2.11711E-05
YPL075W,1.6731E-05
YPL076W,6.56369E-06
YPL077C,7.78633E-06
YPL078C,0.000113063
YPL079W,0.001028568
YPL080C,1.287E-07
YPL081W,0.000309137
YPL082C,7.44528E-05
YPL083C,1.28056E-05
YPL084W,6.46073E-05
YPL085W,0.000219626
YPL086C,0.000116795
YPL087W,2.54825E-05
YPL088W,3.47489E-06
YPL089C,1.65379E-05
YPL090C,0.000378184
YPL091W,0.000326833
YPL092W,2.39381E-05
YPL093W,0.000247554
YPL094C,0.000127541
YPL095C,8.88028E-06
YPL096W,2.38095E-05
YPL096C-A,7.20718E-06
YPL097W,1.0296E-05
YPL098C,9.453E-05
YPL099C,1.81467E-05
YPL100W,2.54825E-05
YPL101W,5.67566E-05
YPL103C,1.12612E-05
YPL104W,1.26769E-05
YPL105C,7.42597E-05
YPL106C,0.003190338
YPL107W,1.08751E-05
YPL108W,1.60875E-05
YPL109C,4.76189E-06
YPL110C,4.96137E-05
YPL111W,0.000331659
YPL112C,5.25738E-05
YPL113C,4.63319E-06
YPL115C,3.42985E-05
YPL116W,3.33332E-05
YPL117C,0.000160682
YPL118W,5.02572E-05
YPL119C,6.43499E-06
YPL119C-A,2.57399E-07
YPL120W,1.29987E-05
YPL121C,1.9305E-07
YPL122C,2.76704E-05
YPL123C,1.01673E-05
YPL124W,9.58813E-06
YPL125W,5.27025E-05
YPL126W,0.000175804
YPL127C,0.000144465
YPL128C,3.85456E-05
YPL129W,0.000121557
YPL130W,3.21749E-07
YPL131W,0.005296702
YPL132W,1.01673E-05
YPL133C,9.97423E-06
YPL134C,1.32561E-05
YPL135W,0.000133204
YPL137C,6.86613E-05
YPL138C,1.42213E-05
YPL139C,3.66794E-05
YPL140C,1.33204E-05
YPL141C,2.38095E-05
YPL143W,0.001415054
YPL144W,1.84684E-05
YPL145C,0.000252702
YPL146C,8.70654E-05
YPL147W,2.96009E-06
YPL148C,1.9305E-06
YPL149W,6.04889E-06
YPL150W,1.51866E-05
YPL151C,1.24839E-05
YPL152W,2.47103E-05
YPL152W-A,6.43499E-08
YPL153C,1.61518E-05
YPL154C,0.00033803
