Protein,phi_calib
YCR048W,0.000113339
YCR051W,0.000154989
YCR052W,7.17653E-05
YCR053W,0.001358738
YCR057C,0.000114461
YCR060W,5.77131E-05
YCR068W,1.9799E-05
YCR071C,2.02201E-05
YCR072C,4.34612E-05
YCR073W-A,0.000164397
YCR075W-A,9.94888E-05
YCR076C,2.259E-05
YCR077C,0.000133266
YCR083W,0.000214897
YCR084C,0.000251695
YCR086W,3.11013E-05
YCR087C-A,0.000231473
YCR088W,0.000505428
YCR090C,8.6081E-05
YCR093W,9.96004E-05
YCR098C,0
YDL002C,6.54924E-06
YDL004W,0.000313331
YDL006W,4.14848E-05
YDL007W,0.000371306
YDL012C,0
YDL014W,0.000514739
YDL015C,0.000108478
YDL019C,0.00010471
YDL022W,0.000549476
YDL029W,0.000434332
YDL031W,0.000141863
YDL040C,0.000549562
YDL043C,3.76479E-05
YDL047W,8.25344E-05
YDL051W,0.000534958
YDL052C,0.000111832
YDL053C,0.000102095
YDL055C,0.004761977
YDL058W,7.83271E-05
YDL060W,0.00012728
YDL061C,0.000561233
YDL063C,7.85048E-05
YDL064W,0.000108548
YDL065C,0.000172313
YDL066W,0.001214228
YDL072C,0.000227333
YDL074C,1.97786E-05
YDL075W,0.001308305
YDL077C,2.40383E-05
YDL078C,0.000533844
YDL081C,0.001955549
YDL082W,0.000155875
YDL084W,0.00115983
YDL085C-A,0.000100612
YDL086W,0.000219026
YDL092W,0.000116244
YDL095W,0.000236312
YDL097C,0.000509618
YDL098C,4.56427E-05
YDL099W,6.7664E-05
YDL100C,0.000547744
YDL103C,0.000232367
YDL110C,5.12789E-05
YDL111C,5.37534E-05
YDL112W,5.8669E-05
YDL113C,2.72943E-05
YDL116W,6.00906E-05
YDL120W,0.000151316
YDL121C,0.000161572
YDL122W,0.000155923
YDL124W,0.000497223
YDL125C,0.000809463
YDL126C,0.001598071
YDL128W,3.88636E-05
YDL130W,0.000493859
YDL130W-A,0.000184512
YDL131W,0.001171594
YDL132W,0.000160362
YDL134C,8.33607E-05
YDL135C,0.00038582
YDL137W,0.000205804
YDL140C,0.000327949
YDL143W,0.000350477
YDL144C,7.33573E-05
YDL145C,0.000398713
YDL147W,0.000297738
YDL150W,9.36263E-05
YDL153C,0.000126004
YDL157C,4.34954E-05
YDL160C,0.000640642
YDL161W,9.08907E-05
YDL164C,0.000121894
YDL165W,0.000162709
YDL166C,0.000119281
YDL167C,7.37856E-05
YDL168W,0.000273825
YDL171C,0.000358806
YDL173W,9.38939E-05
YDL174C,0.000153456
YDL178W,0.000181841
YDL181W,0.000194087
YDL182W,0.000908056
YDL185W,0.001936579
YDL189W,0
YDL190C,0.000889038
YDL192W,0.000714592
YDL195W,0.000387673
YDL198C,0.000373735
YDL199C,0.000255135
YDL201W,0.000238921
YDL202W,3.70887E-05
YDL203C,0
YDL204W,0
YDL205C,0.000111483
YDL208W,0.00033748
YDL211C,5.60234E-06
YDL212W,6.49809E-05
YDL213C,0.00041825
YDL215C,5.31135E-05
YDL217C,4.04183E-05
YDL219W,0.000146182
YDL223C,1.64561E-05
YDL224C,5.45717E-05
YDL225W,0.000133123
YDL226C,0.000205641
YDL229W,0.00805422
YDL235C,0.000232924
YDL236W,0.000212221
YDL237W,5.67081E-05
YDR001C,0.000270685
YDR002W,0.000484876
YDR005C,2.75512E-05
YDR007W,3.63197E-05
YDR011W,0.000116172
YDR012W,0.000164853
YDR016C,7.3717E-05
YDR017C,3.71524E-05
YDR019C,0.000321359
YDR023W,0.001309945
YDR028C,0.000259112
YDR031W,6.08579E-05
YDR032C,0.00053973
YDR033W,0.000939514
YDR035W,0.000667051
YDR036C,0.000192552
YDR037W,0.001924862
YDR041W,7.14456E-05
YDR044W,0.00010478
YDR050C,0.006880754
YDR051C,9.05534E-05
YDR054C,0.000105544
YDR055W,0.000142424
YDR060W,0.000172913
YDR062W,0.000142655
YDR063W,0.000267127
YDR064W,0.006566571
YDR068W,3.74847E-05
YDR070C,1.96419E-05
YDR071C,0.001488321
YDR074W,0.000201443
YDR076W,0.000112698
YDR083W,7.81961E-05
YDR084C,9.32214E-05
YDR086C,0.001266885
YDR087C,3.48566E-05
YDR091C,0.000355823
YDR092W,0.000261103
YDR098C,0.000267325
YDR099W,0.000394459
YDR101C,0.000629208
YDR116C,5.02789E-05
YDR117C,7.35979E-05
YDR119W,3.88883E-05
YDR120C,0.000145373
YDR121W,0.00010523
YDR127W,0.000575688
YDR129C,0.00064544
YDR135C,0.000110514
YDR138W,6.5181E-05
YDR141C,4.42637E-05
YDR143C,1.33417E-05
YDR145W,0.00011795
YDR148C,0.000310786
YDR150W,9.91334E-05
YDR152W,0.00010672
YDR153C,9.88797E-05
YDR155C,0.002479727
YDR156W,6.43063E-05
YDR158W,0.001561768
YDR165W,0.000181954
YDR167W,3.93314E-05
YDR168W,0.000361671
YDR169C,0.000129195
YDR170C,0.000133527
YDR172W,0.000307921
YDR174W,0.000431543
YDR175C,0.000108703
YDR176W,1.82333E-05
YDR177W,0.000275808
YDR178W,0.000118207
YDR182W,0.000138888
YDR183W,7.98963E-05
YDR188W,0.000379693
YDR189W,9.17994E-05
YDR190C,0.000360831
YDR194C,0.000149266
YDR201W,0.000155255
YDR211W,0.000231418
YDR212W,0.000456174
YDR214W,0.000435716
YDR221W,6.08552E-05
YDR224C,1.68646E-05
YDR226W,0.0025592
YDR227W,1.78173E-06
YDR231C,6.39223E-05
YDR232W,0.000134143
YDR233C,0.001520999
YDR234W,0.000176004
YDR235W,0.000289103
YDR236C,6.80396E-05
YDR238C,0.000400057
YDR239C,3.7036E-05
YDR243C,4.10302E-05
YDR246W,3.99505E-05
YDR248C,7.00455E-05
YDR257C,4.26459E-05
YDR258C,0.000315772
YDR262W,0
YDR264C,6.70517E-05
YDR266C,0
YDR267C,1.35196E-05
YDR268W,4.81342E-05
YDR272W,8.05783E-05
YDR280W,0.000113397
YDR287W,6.60405E-05
YDR289C,5.01033E-05
YDR292C,9.1003E-05
YDR293C,0.000108022
YDR294C,8.58055E-05
YDR296W,0.00012998
YDR298C,0.000243637
YDR299W,0.000117516
YDR300C,0.000179296
YDR303C,2.29237E-05
YDR304C,0.00099505
YDR312W,0
YDR320C,0.000121273
YDR321W,0.000320415
YDR322C-A,0.000175452
YDR322W,0.000126925
YDR324C,0.00010575
YDR328C,0.000453066
YDR330W,4.76563E-05
YDR333C,5.39182E-05
YDR337W,6.91797E-05
YDR341C,0.001727971
YDR346C,0.00031532
YDR347W,0.000116746
YDR348C,0
YDR353W,0.000804635
YDR354W,0.000148941
YDR356W,2.65469E-05
YDR358W,9.19069E-05
YDR361C,0.000101824
YDR363W-A,2.87055E-06
YDR365C,4.34272E-05
YDR367W,2.72433E-05
YDR368W,0.000707163
YDR376W,6.09453E-05
YDR377W,0.000301358
YDR378C,0.000363769
YDR380W,0.000222759
YDR381C-A,3.7415E-05
YDR381W,0.001033917
YDR382W,0.002608796
YDR384C,5.60135E-05
YDR388W,0.000220255
YDR389W,2.0535E-05
YDR390C,7.12194E-05
YDR394W,0.000203068
YDR395W,7.96149E-05
YDR397C,7.14663E-05
YDR398W,0.000101108
YDR399W,0.000324141
YDR404C,0.000141926
YDR405W,6.17102E-05
YDR408C,0.00013131
YDR411C,3.155E-05
YDR416W,0
YDR422C,7.70852E-06
YDR425W,0
YDR427W,0.000327589
YDR428C,0.000101051
YDR429C,0.000619621
YDR430C,0.000152657
YDR432W,0.000667158
YDR434W,2.47943E-05
YDR441C,4.21382E-05
YDR449C,4.5452E-05
