Protein,phi_calib
YCR068W,4.49078E-05
YCR071C,2.10213E-05
YCR072C,3.48419E-05
YCR073W-A,0.000444874
YCR075W-A,6.82319E-05
YCR076C,1.05849E-05
YCR077C,0.000159502
YCR083W,0.001285945
YCR084C,0.000274174
YCR086W,6.11977E-05
YCR087C-A,0.000101737
YCR088W,0.000880055
YCR090C,8.16889E-05
YCR093W,0.000124466
YCR098C,0
YDL002C,0
YDL004W,0.002746242
YDL006W,4.32273E-05
YDL007W,0.00041638
YDL012C,4.43355E-06
YDL014W,0.000206476
YDL015C,0.000100498
YDL019C,0.000117255
YDL022W,0.001205108
YDL029W,0.000744699
YDL031W,0.000116529
YDL040C,0.000400627
YDL043C,0
YDL047W,0.000104537
YDL051W,0.000415344
YDL052C,5.38031E-05
YDL053C,0.000108705
YDL055C,0.003754838
YDL058W,4.23789E-05
YDL060W,6.53163E-05
YDL061C,0.000585252
YDL063C,0
YDL064W,0.000111943
YDL065C,0.000181477
YDL066W,0.001234967
YDL072C,0.000363604
YDL074C,0
YDL075W,0.000984425
YDL077C,3.31595E-05
YDL078C,0.001220964
YDL081C,0.000669167
YDL082W,0.000269126
YDL084W,0.000951329
YDL085C-A,5.41668E-05
YDL086W,0.00036735
YDL092W,0.00012777
YDL095W,0.000172043
YDL097C,0.000513842
YDL098C,4.03195E-05
YDL099W,9.70683E-05
YDL100C,0.000281683
YDL103C,0.000393838
YDL110C,8.27132E-05
YDL111C,5.44195E-05
YDL112W,3.43363E-05
YDL113C,3.55923E-05
YDL116W,0
YDL120W,0.000129833
YDL121C,0.000102144
YDL122W,0.000194545
YDL124W,0.001423467
YDL125C,0.00120297
YDL126C,0.002003352
YDL128W,1.28681E-05
YDL130W,0.000453482
YDL130W-A,0.002050682
YDL131W,0.000683718
YDL132W,0.000131955
YDL134C,0.000124802
YDL135C,0.000482946
YDL137W,0.000446941
YDL140C,0.00029072
YDL143W,0.000260946
YDL144C,0.000175476
YDL145C,0.000368045
YDL147W,0.000248649
YDL150W,4.23757E-05
YDL153C,8.31685E-05
YDL157C,0
YDL160C,0.000431452
YDL161W,0.000109814
YDL164C,0.000120485
YDL165W,0.000176355
YDL166C,0.000119642
YDL167C,0
YDL168W,0.000386397
YDL171C,0.000224522
YDL173W,0.000151822
YDL174C,0.000319074
YDL178W,0.000340102
YDL181W,0.00335439
YDL182W,0.000144137
YDL185W,0.001607597
YDL189W,2.41907E-05
YDL190C,0.000745857
YDL192W,0.000200128
YDL195W,0.000407929
YDL198C,0.000150073
YDL199C,0.000182219
YDL201W,0.000110681
YDL202W,0
YDL203C,0
YDL204W,0.000106435
YDL205C,0.000119473
YDL208W,0.000190051
YDL211C,7.68207E-06
YDL212W,3.32691E-05
YDL213C,0.000229182
YDL215C,0.000725341
YDL217C,5.37072E-05
YDL219W,8.38707E-05
YDL223C,0.000214242
YDL224C,1.6106E-05
YDL225W,0.000169842
YDL226C,0.000197477
YDL229W,0.003155472
YDL235C,0.000227999
YDL236W,0.000105186
YDL237W,7.41421E-05
YDR001C,0.000557783
YDR002W,0.000195606
YDR005C,3.04834E-05
YDR007W,1.27625E-05
YDR011W,9.80791E-05
YDR012W,0
