Protein,phi_calib
YCR046C,8.65219E-05
YCR047C,2.68645E-05
YCR048W,0.000102696
YCR051W,0.000136059
YCR052W,7.04593E-05
YCR053W,0.001674817
YCR057C,9.25913E-05
YCR060W,9.33555E-05
YCR068W,1.18757E-05
YCR071C,2.11024E-05
YCR072C,3.5555E-05
YCR073W-A,0.000166485
YCR075W-A,9.13295E-05
YCR076C,2.45925E-05
YCR077C,0.000148804
YCR083W,0.000484474
YCR084C,0.000243203
YCR086W,3.46482E-05
YCR087C-A,0.00023237
YCR088W,0.000490793
YCR090C,7.49606E-05
YCR093W,9.36461E-05
YCR098C,2.32265E-05
YDL002C,0
YDL004W,0.000257733
YDL006W,0
YDL007W,0.000456265
YDL012C,6.30739E-05
YDL014W,0.000501661
YDL015C,0.000117872
YDL019C,0.000100656
YDL022W,0.000447148
YDL029W,0.000403593
YDL031W,0.000132393
YDL040C,0.000130707
YDL043C,9.69843E-06
YDL047W,6.96586E-05
YDL051W,0.0004845
YDL052C,9.11312E-05
YDL053C,0.000108222
YDL055C,0.003197845
YDL058W,5.65588E-05
YDL060W,0.000117799
YDL061C,0.000507345
YDL063C,5.76954E-05
YDL064W,0.000132046
YDL065C,0.0001851
YDL066W,0.001237117
YDL072C,0.000248599
YDL074C,1.48846E-05
YDL075W,0.001421155
YDL077C,3.95066E-05
YDL078C,0.000513357
YDL081C,0.00242969
YDL082W,0.000426652
YDL084W,0.001002225
YDL085C-A,9.74673E-05
YDL086W,0.000222612
YDL092W,0.000136696
YDL095W,0.00019884
YDL097C,0.000486417
YDL098C,3.95089E-05
YDL099W,7.44425E-05
YDL100C,0.000554271
YDL103C,0.000223218
YDL110C,4.99819E-05
YDL111C,5.00714E-05
YDL112W,6.02061E-05
YDL113C,1.41357E-05
YDL116W,0
YDL120W,0.00017976
YDL121C,0.00017327
YDL122W,0.000144706
YDL124W,0.000548669
YDL125C,0.000671605
YDL126C,0.001698446
YDL128W,3.86229E-05
YDL130W,0.000579792
YDL130W-A,0.000161012
YDL131W,0.001093218
YDL132W,0.000154445
YDL134C,0.000101584
YDL135C,0.000415885
YDL137W,0.000164718
YDL140C,0.000267713
YDL143W,0.000398429
YDL144C,7.70646E-05
YDL145C,0.000365491
YDL147W,0.000261599
YDL150W,9.57274E-05
YDL153C,0.000118466
YDL157C,0
YDL160C,0.000648301
YDL161W,9.30389E-05
YDL164C,9.98421E-05
YDL165W,0.000160686
YDL166C,0.000101005
YDL167C,8.15639E-05
YDL168W,0.000266358
YDL171C,0.000232031
YDL173W,7.37029E-05
YDL174C,0.000217306
YDL178W,0.000161952
YDL181W,7.07732E-05
YDL182W,0.001330718
YDL185W,0.001918548
YDL189W,0
YDL190C,0.000895786
YDL192W,0.000864191
YDL195W,0.000391618
YDL198C,0.000271963
YDL199C,0.000243327
YDL201W,0.000177377
YDL202W,4.9248E-05
YDL203C,2.90369E-05
YDL204W,8.04099E-06
YDL205C,0.000108257
YDL208W,0.000311719
YDL211C,7.16884E-06
YDL212W,6.36644E-05
YDL213C,0.000431719
YDL215C,4.83933E-05
YDL217C,3.14495E-05
YDL219W,0.0001495
YDL223C,2.06356E-05
YDL224C,6.47807E-05
YDL225W,0.000138458
YDL226C,0.000202282
YDL229W,0.006990166
YDL235C,0.00018677
YDL236W,0.000209351
YDL237W,5.82585E-05
YDR001C,0.000254173
YDR002W,0.000558009
YDR005C,7.70709E-05
YDR007W,0
YDR011W,0.000126922
YDR012W,0.00014438
YDR016C,0.000109541
YDR017C,3.28941E-05
YDR019C,0.000274856
YDR023W,0.00130968
YDR028C,0.000269728
YDR031W,5.18548E-05
YDR032C,0.000479876
YDR033W,0.000483416
YDR035W,0.00063853
YDR036C,0.000187611
YDR037W,0.001711054
YDR041W,7.67582E-05
YDR044W,0.000112103
YDR050C,0.006331269
YDR051C,8.33211E-05
YDR054C,0.00012416
YDR055W,0.00013351
YDR060W,0.000177806
YDR062W,0.000123343
YDR063W,0.000254104
YDR064W,0.006025257
YDR068W,3.40911E-05
YDR070C,1.24426E-05
YDR071C,0.00146343
YDR074W,0.000195189
YDR076W,0.000108546
YDR083W,6.13443E-05
YDR084C,9.86481E-05
YDR086C,0.001064821
YDR087C,4.298E-05
YDR091C,0.000332918
YDR092W,0.000268427
YDR098C,0.000257207
YDR099W,0.000470844
YDR101C,0.000572091
YDR116C,5.57786E-05
YDR117C,7.46429E-05
YDR119W,6.96724E-05
YDR120C,0.000127411
YDR121W,5.77467E-05
YDR127W,0.00053778
YDR129C,0.000576271
YDR135C,0.000102185
YDR138W,6.59696E-05
YDR141C,4.93168E-05
YDR143C,3.08623E-05
YDR145W,0.000115365
YDR148C,0.0002533
YDR150W,9.27236E-05
YDR152W,0.000105876
YDR153C,0.000103758
YDR155C,0.002760459
YDR156W,5.38324E-05
YDR158W,0.001507113
YDR165W,0.000168987
YDR167W,4.16628E-05
YDR168W,0.000476326
YDR169C,4.29256E-05
YDR170C,0.000121668
YDR172W,0.000266873
YDR174W,0.000456181
YDR175C,0.00010808
YDR176W,1.85834E-05
YDR177W,0.000316225
YDR178W,5.48696E-05
YDR182W,4.08572E-05
YDR183W,8.1593E-05
YDR188W,0.000401013
YDR189W,7.93395E-05
YDR190C,0.000337288
YDR194C,0.00016121
YDR201W,0.000152611
YDR211W,0.000219702
YDR212W,0.000481424
YDR214W,0.000557188
YDR221W,6.44127E-05
YDR224C,2.24763E-05
YDR226W,0.002485163
YDR227W,0
YDR231C,5.64021E-05
YDR232W,0.000122441
YDR233C,0.001132599
YDR234W,0.000159984
YDR235W,0.000275857
YDR236C,4.20812E-05
YDR238C,0.000368518
YDR239C,3.28528E-05
YDR243C,3.57042E-05
YDR246W,2.99578E-05
YDR248C,7.07651E-05
YDR257C,3.43662E-05
YDR258C,0.000346031
YDR262W,0
YDR264C,7.40439E-05
YDR266C,4.92237E-05
YDR267C,1.21787E-05
YDR268W,4.8776E-05
YDR272W,9.42289E-05
YDR280W,9.87096E-05
YDR287W,5.48734E-05
YDR289C,5.16464E-05
YDR292C,8.85427E-05
YDR293C,0.000106747
YDR294C,8.07581E-05
YDR296W,0.000149494
YDR298C,0.000206499
YDR299W,0.000137368
YDR300C,0.000178829
YDR303C,1.65332E-05
YDR304C,0.001062511
YDR312W,0
YDR320C,0.000106672
YDR321W,0.000275654
YDR322C-A,0.000108597
YDR322W,0.000145229
YDR324C,8.70865E-05
YDR328C,0.000560946
YDR330W,5.92506E-05
YDR333C,4.64769E-05
YDR337W,6.01108E-05
YDR341C,0.001624825
YDR346C,0.000311112
YDR347W,0.000138238
YDR348C,1.93533E-05
YDR353W,0.000823036
YDR354W,0.000120592
YDR356W,2.50151E-05
YDR358W,0.000106178
YDR361C,0.000113226
YDR363W-A,0.000225821
YDR365C,7.02437E-05
YDR367W,9.80396E-06
YDR368W,0.000567177
YDR376W,5.76193E-05
YDR377W,0.000169524
YDR378C,0.000347431
YDR380W,6.97846E-05
YDR381C-A,5.93878E-05
YDR381W,0.000918581
YDR382W,0.003371144
YDR384C,8.03223E-05
YDR388W,0.000192596
YDR389W,1.3095E-05
YDR390C,7.19623E-05
YDR394W,0.000228862
YDR395W,8.32663E-05
YDR397C,6.23788E-05
YDR398W,3.20798E-05
YDR399W,0.000381774
YDR404C,0.000122191
YDR405W,5.98101E-05
YDR408C,0.000113466
YDR411C,3.17422E-05
YDR416W,0
YDR422C,0
YDR425W,0
YDR427W,0.000348113
YDR428C,8.38957E-05
YDR429C,0.000594882
YDR430C,0.0001996
YDR432W,0.000704785
YDR434W,2.84985E-05
YDR441C,4.49686E-05
YDR449C,4.54672E-05
YDR452W,0.000111385
YDR453C,2.82219E-05
YDR454C,0.001265908
YDR457W,8.98063E-05
YDR461C-A,7.68314E-05
YDR462W,7.27517E-05
YDR469W,0.0002406
YDR470C,0.000651165
YDR472W,5.66854E-05
YDR477W,0.000226342
YDR481C,0.000175328
YDR483W,0.000207261
YDR486C,0
YDR487C,0.000435245
YDR496C,0.000160382
YDR500C,0.000472593
YDR502C,0.00043614
YDR508C,5.71329E-05
YDR510W,0.000945335
YDR513W,0.000507238
YDR515W,0.000162915
YDR516C,0.000217901
YDR517W,8.7337E-05
YDR518W,0.00018378
YDR519W,0.000537989
YDR524C,0
YDR525W-A,2.68481E-05
YDR529C,0.000128702
YDR531W,0.000143418
YDR533C,0.00028409
YEL002C,0.000395499
YEL007W,8.4296E-05
YEL012W,2.60559E-05
YEL013W,0.00018373
YEL015W,8.61591E-05
YEL018W,4.4873E-06
YEL020W-A,0.000309676
YEL021W,0.000142305
YEL024W,0.000112702
YEL026W,0.00075505
YEL030W,0.000246368
YEL031W,0.000446438
YEL032W,9.82913E-05
YEL034W,0.000371927
YEL037C,0.000376938
YEL038W,0.00016054
YEL040W,0.00013252
YEL042W,0.000159177
YEL044W,4.95129E-05
YEL046C,0.000583608
YEL047C,0.000455072
YEL050C,1.39801E-05
YEL051W,0.000639251
YEL052W,6.23294E-05
YEL055C,6.04962E-05
YEL056W,6.89385E-05
YEL058W,0.000277513
YEL060C,0.00041596
YEL066W,0.000280402
YEL071W,0.001645362
YER001W,5.48138E-05
YER002W,0.000114596
YER003C,0.000940344
YER004W,0.000221912
YER006W,0.000400072
YER007C-A,0.000692941
YER009W,0.003785174
YER010C,0.000119996
YER012W,0.000437245
YER014W,0.000321844
YER019C-A,7.78714E-05
YER019W,1.03732E-05
YER021W,0.000412447
YER023W,0.000469967
YER025W,0.001261079
YER029C,8.06918E-05
YER030W,7.56073E-05
YER031C,9.54733E-05
YER034W,4.2659E-05
YER036C,0.000791489
YER042W,0.000378633
YER043C,0.003417875
YER044C,7.06453E-05
YER048C,0.000274827
YER048W-A,0.000354091
YER049W,0.000293138
YER052C,0.000379582
YER055C,0.00070354
YER056C,7.41495E-05
YER057C,0.000981173
YER061C,2.54241E-05
YER062C,0.000330594
YER063W,0.000310239
YER067W,2.00771E-05
YER068W,8.79533E-05
YER069W,0.000152893
YER070W,0.000233003
YER072W,6.53654E-05
YER073W,0.000391637
YER074W-A,1.11601E-05
YER078C,2.45353E-05
YER079W,4.7934E-05
YER080W,0.000285575
YER081W,0.000548663
YER082C,7.9921E-05
YER083C,0.000156615
YER086W,0.000398027
YER088C,6.75879E-05
YER089C,0.000156129
YER090W,0.000797187
YER091C,0.003103923
YER092W,4.08644E-05
YER094C,0.000336552
YER099C,0.000122869
YER100W,4.71608E-06
YER101C,0.000143188
YER103W,6.46344E-05
YER105C,1.88132E-05
YER110C,0.000817562
YER112W,0.00023649
YER114C,4.28251E-05
YER120W,0.000445081
YER122C,0.000219182
YER123W,2.56798E-05
YER125W,0.001637922
YER131W,1.45777E-05
YER133W,0.000206833
YER134C,0.000164864
YER136W,0.000502175
YER139C,6.44871E-05
YER143W,0.000135805
YER145C,1.48417E-05
YER146W,0.000352009
YER148W,7.67355E-05
YER151C,0.000157924
YER152C,0.000102555
YER155C,5.9808E-05
YER156C,0.000359459
YER159C,8.64695E-05
YER161C,2.55595E-05
YER163C,0.000204014
YER164W,6.67718E-05
YER165W,0.001717703
YER166W,0
YER168C,0.000900541
YER174C,3.08745E-05
YER175C,6.25047E-05
YER176W,0.000128356
YER177W,0.001212852
YER178W,0.0011421
YER182W,5.9187E-05
YFL001W,4.27832E-05
YFL002C,2.56551E-05
YFL004W,0.000199552
YFL005W,0.000498998
YFL007W,5.19426E-05
YFL008W,0.000102578
YFL010C,0.000183303
YFL014W,0.001027835
YFL016C,6.51331E-05
YFL017C,0.000169628
YFL017W-A,8.92632E-06
YFL018C,0.000432044
YFL022C,0.000653538
YFL023W,7.99985E-05
YFL028C,0.000103531
YFL034C-A,0.000281257
YFL037W,0.000890426
YFL038C,0.000552669
YFL039C,0.004419406
YFL041W,7.74217E-05
YFL044C,5.06224E-05
YFL045C,0.001111342
YFL047W,5.37703E-05
YFL048C,0.000189078
YFR001W,0.0001627
YFR002W,9.79479E-05
YFR003C,0.000135324
YFR004W,0.000505752
YFR006W,0.000126159
YFR009W,0.000343509
YFR010W,0.000274321
YFR011C,9.74496E-05
YFR013W,5.95413E-05
YFR014C,6.62196E-05
YFR016C,6.12498E-05
YFR024C-A,0.000244288
YFR025C,4.1474E-06
YFR028C,4.41149E-05
YFR030W,5.44343E-05
YFR033C,3.20944E-05
YFR034C,1.47147E-05
YFR037C,0.000242072
YFR040W,2.94126E-05
YFR041C,1.70973E-05
YFR044C,0.001237037
YFR047C,0.000109372
YFR049W,0
YFR050C,0.000245066
YFR051C,0.000270581
YFR052W,0.000275565
YFR053C,0.000281931
YGL001C,9.75585E-05
YGL005C,0.000147852
YGL008C,0.001370445
YGL009C,0.000778084
YGL011C,0.000301087
YGL014W,9.89005E-05
YGL016W,2.70457E-05
YGL018C,4.19739E-05
YGL019W,0.000114776
YGL020C,3.07302E-05
YGL022W,0.000157677
YGL023C,0
YGL025C,2.55543E-05
YGL026C,0.000758781
YGL027C,0.000109611
YGL028C,9.04946E-05
YGL030W,0.002233548
YGL031C,0.000291183
YGL035C,4.54341E-05
YGL037C,0.000367473
YGL038C,2.10737E-05
YGL039W,7.37437E-05
YGL040C,0.000219503
YGL043W,0.000166307
YGL048C,0.000383146
YGL049C,0.000118483
YGL050W,5.14055E-05
YGL054C,0.000199946
YGL055W,0.000215694
YGL056C,0.000107301
YGL061C,3.10018E-05
YGL062W,0.000266421
YGL063W,3.2021E-05
YGL066W,0.000490961
YGL067W,0.000103106
YGL068W,0.00047033
YGL070C,0.000118476
YGL073W,3.68688E-05
YGL076C,0.003685432
YGL078C,0.000444493
YGL082W,4.7506E-05
YGL084C,8.03792E-05
YGL087C,0.000166541
YGL092W,8.14432E-05
YGL097W,0.000154761
YGL099W,0.000210051
YGL100W,0.00010538
YGL101W,4.25199E-05
YGL103W,0.004089606
YGL105W,0.001845729
YGL106W,0.000646323
YGL108C,1.32162E-05
YGL111W,0.000109815
YGL112C,8.00401E-05
YGL115W,0.000191128
YGL117W,3.0706E-05
YGL119W,0
YGL120C,0.000165912
YGL122C,0.000112086
YGL123W,0.00386477
YGL125W,0.000134983
YGL129C,0.000171308
YGL130W,8.2223E-05
YGL137W,0.000317492
YGL141W,4.64872E-05
YGL145W,7.96477E-05
YGL147C,0.001328619
YGL148W,0.0006431
YGL150C,5.53111E-05
YGL153W,7.78435E-05
YGL157W,0.000146515
YGL164C,0.00122091
YGL167C,0.00010415
YGL171W,0.000137082
YGL173C,0.000304038
YGL174W,3.16214E-05
YGL181W,3.29562E-05
YGL184C,6.3695E-05
YGL185C,1.52099E-05
YGL187C,7.0109E-05
YGL189C,2.23552E-05
YGL190C,7.25912E-05
YGL191W,2.79748E-05
YGL195W,0.000611127
YGL196W,2.88383E-06
YGL198W,2.97654E-05
YGL200C,0.000205144
YGL201C,7.9185E-05
YGL202W,0.001765251
YGL206C,0.000535627
YGL207W,0.000250011
YGL210W,2.78617E-05
YGL213C,9.7767E-05
YGL220W,0.00017453
YGL221C,0.000163141
YGL226C-A,3.69715E-05
YGL228W,0.000161664
YGL231C,0.000198424
YGL232W,0.000108811
YGL234W,0.00095703
YGL238W,0.00010047
YGL242C,0.000193414
YGL244W,0.000201746
YGL245W,0.001698795
YGL246C,0.000130408
YGL248W,2.27282E-05
YGL252C,0.000122493
YGL253W,0.005563429
YGL255W,0
YGR001C,0.00023146
YGR005C,6.66399E-05
YGR008C,2.43764E-05
YGR009C,6.82181E-05
YGR012W,4.40902E-05
YGR017W,8.25707E-05
YGR019W,0.000176183
YGR020C,0.000607237
YGR028W,2.54625E-05
YGR029W,0.000104146
YGR031W,2.16724E-05
YGR034W,0.001527723
YGR037C,0.001263667
YGR043C,2.1833E-05
YGR048W,0.000304959
YGR054W,0.000208317
YGR055W,3.9111E-05
YGR061C,0.000837241
YGR063C,7.32767E-05
YGR070W,9.49914E-05
YGR076C,3.9535E-05
YGR078C,0.000223453
YGR080W,0.000165637
YGR081C,0.000100601
YGR082W,0.000585398
YGR083C,0.000108765
YGR084C,3.77194E-05
YGR086C,0.001617263
YGR087C,0.00052812
YGR090W,7.43385E-05
YGR092W,1.35408E-05
YGR094W,0.000842088
YGR095C,0.000157438
YGR098C,6.40127E-05
YGR103W,0.000238997
YGR104C,2.89659E-05
YGR106C,5.79563E-05
YGR111W,4.43669E-05
YGR116W,0.000379931
YGR117C,8.03395E-05
YGR119C,0.000190122
YGR120C,3.27023E-05
YGR123C,0.000138996
YGR124W,0.000925139
YGR128C,8.82904E-05
YGR129W,0
YGR130C,9.49646E-05
YGR132C,0.000457821
YGR135W,0.00062682
YGR136W,0.00022162
YGR145W,0.00010327
YGR148C,0.000272246
YGR152C,7.93116E-05
YGR155W,0.001203689
YGR156W,7.00517E-05
YGR157W,0.000108227
YGR158C,9.03577E-05
YGR159C,0.000585506
YGR162W,0.000581496
YGR163W,4.77848E-05
YGR167W,0.00037184
YGR169C-A,0.00023505
YGR173W,0.00030253
YGR175C,0.000341132
YGR177C,0
YGR178C,0.000114711
YGR180C,0.001471701
YGR181W,0.000195724
YGR185C,0.000775748
YGR186W,0.000104663
YGR187C,0.000131245
YGR189C,6.09949E-05
YGR192C,0.003280954
YGR193C,0.000101137
YGR194C,3.12056E-05
