Protein,phi_calib
YCR051W,0.000152427
YCR052W,7.68252E-05
YCR053W,0.000841563
YCR057C,6.20735E-05
YCR060W,7.48031E-05
YCR068W,3.70642E-05
YCR071C,5.76582E-05
YCR072C,2.7345E-05
YCR073W-A,0.000380566
YCR075W-A,7.04781E-05
YCR076C,1.97704E-05
YCR077C,0.000170393
YCR083W,0.001476264
YCR084C,0.000255096
YCR086W,5.7409E-05
YCR087C-A,0.000106398
YCR088W,0.000791158
YCR090C,6.74476E-05
YCR093W,0.00010146
YCR098C,2.10299E-05
YDL002C,0
YDL004W,0.001488389
YDL006W,0
YDL007W,0.000386535
YDL012C,4.39215E-05
YDL014W,0.000213158
YDL015C,0.000116174
YDL019C,0.00013003
YDL022W,0.001451602
YDL029W,0.000820916
YDL031W,0.000112512
YDL040C,0.000139804
YDL043C,1.09859E-05
YDL047W,0.000102926
YDL051W,0.000363935
YDL052C,5.10445E-05
YDL053C,0.000103144
YDL055C,0.003315682
YDL058W,4.05612E-05
YDL060W,6.4666E-05
YDL061C,0.000502526
YDL063C,2.63297E-05
YDL064W,7.48505E-05
YDL065C,0.000182045
YDL066W,0.000913629
YDL072C,0.00037308
YDL074C,3.94777E-06
YDL075W,0.000955882
YDL077C,0
YDL078C,0.000786542
YDL081C,0.000779378
YDL082W,0.000214309
YDL084W,0.000810667
YDL085C-A,4.38407E-05
YDL086W,0.000386227
YDL092W,0.000133726
YDL095W,0.000181629
YDL097C,0.000648317
YDL098C,3.26269E-05
YDL099W,9.01445E-05
YDL100C,0.000388602
YDL103C,0.00035855
YDL110C,0.000111051
YDL111C,4.91467E-05
YDL112W,5.62682E-05
YDL113C,3.49954E-05
YDL116W,4.29998E-05
YDL120W,0.000127367
YDL121C,0.000126727
YDL122W,0.000183048
YDL124W,0.001655056
YDL125C,0.000962291
YDL126C,0.002466137
YDL128W,2.32932E-05
YDL130W,0.000310358
YDL130W-A,0.001705069
YDL131W,0.000614786
YDL132W,0.000171154
YDL134C,0.000134273
YDL135C,0.000390564
YDL137W,0.000367364
YDL140C,0.000268231
YDL143W,0.00029752
YDL144C,0.000161785
YDL145C,0.000396261
YDL147W,0.000352022
YDL150W,4.54723E-05
